Adresse,Nom,Type,Commentaire,Adresse_ABS,Categorie
326.0,_12_MS1_Y_R,REAL,Ordre: lire et adapter valeur de con signe Méc. levage 2 / Méc. fermeture 2,%DB102.DBD326,Télémesure
330.0,_12_N_setpoint_R,REAL,Transmission de consigne à l'entraîn ement en % Méc. levage 2 / Méc. fermeture,%DB102.DBD330,Téléréglage
334.0,_12_MS5_Y_R,REAL,Impulsion changement de vitesse rédu cteur du méc. de levage Méc. levage 2 / Méc. fermeture,%DB102.DBD334,Télémesure
338.0,_12_I_control_actual_R,REAL,Sortie régulateur compensation de co urant Méc. levage 2 / Méc. fermeture,%DB102.DBD338,Télémesure
342.0,_12_H_height_limit_POS_R,REAL,Hauteur de levage admissible pour le levage calculée P DWON Méc. levage 2 / Méc. fermeture,%DB102.DBD342,Télémesure
346.0,_12_H_height_limit_NEG_R,REAL,Hauteur de levage admissible calculé e pour la descente w C mw Méc. levage 2 / Méc. fermeture,%DB102.DBD346,Télémesure
350.0,_12_H_height_perm_cent_R,REAL,Hauteur de levage admissible w en pour centage Méc. levage 2 / Méc. fermeture,%DB102.DBD350,Télémesure
354.0,_12_N_actual_R,REAL,Valeur réelle vitesse en t/min Méc. levage 2 / Méc. fermeture,%DB102.DBD354,Télémesure
358.0,_12_I_actual_R,REAL,Valeur réelle du courant en A Méc. levage 2 / Méc. fermeture,%DB102.DBD358,Télémesure
362.0,_12_P_actual_R,REAL,Valeur réelle de la puissance en kW Méc. levage 2 / Méc. fermeture,%DB102.DBD362,Télémesure
366.0,_12_UA_actual_R,REAL,Valeur réelle de la tension d'induit en V Méc. levage 2 / Méc. fermeture,%DB102.DBD366,Télémesure
370.0,_12_fN_actual_R,REAL,Valeur réelle de la fréquence secteu r en Hz Méc. levage 2 / Méc. fermeture,%DB102.DBD370,Télémesure
374.0,_12_Motor_temp_actual_R,REAL,Valeur réelle de température du moteur en °C Méc. levage 2 / Méc. fermeture,%DB102.DBD374,Télémesure
378.0,_12_H_height_actual_R,REAL,Valeur réelle de la hauteur de levag e en m (codeur absolu) Méc. levage 2 / Méc. fermeture,%DB102.DBD378,Télémesure
382.0,_12_H_height_convert_R,REAL,Valeur réelle de la hauteur de levag e en m (entraînement) Méc. levage 2 / Méc. fermeture,%DB102.DBD382,Télémesure
386.0,_12_V_actual_R,REAL,Vitesse du méc. levage en m/min Méc. levage 2 / Méc. fermeture,%DB102.DBD386,Télémesure
390.0,_12_Press_brake_R,REAL,Pression de service pour le frein du méc. de fermeture Méc. levage 2 / Méc. fermeture,%DB102.DBD390,Télémesure
394.0,_12_Rigging_setpoint,REAL,Valeur de consigne mode mise en équi pement Méc. levage 2 / Méc. fermeture,%DB102.DBD394,Téléréglage
